ངན་སོང་སྤོང|Abandoner of Unfavorable Rebirths
གཞན་ཉིད་དུ་འགྱུར|Alienated (be)
སོམ་ཉི་ཐམས་ཅད་མགུ་བྱེད|All Doubts Diminished
རིག་བྱེད|All forms of knowledge
ཀུན་ཏུ་འོད|All Luminous
ཡོན་ཏན་ཐམས་ཅད|All qualities
ལུས་ཀྱི་ལས་ཐམས་ཅད་ཡེ་ཤེས་སྔོན་དུ་འགྲོ་ཞིང་ཡེ་ཤེས་ཀྱི་རྗེས་སུ་འབྲང་བ|All the activities of their bodies are preceded by pristine cognition and followed by pristine cognition
ཡིད་ཀྱི་ལས་ཐམས་ཅད་ཡེ་ཤེས་སྔོན་དུ་འགྲོ་ཞིང་ཡེ་ཤེས་ཀྱི་རྗེས་སུ་འབྲང་བ|All the activities of their minds are preceded by pristine cognition and followed by pristine cognition
ངག་གི་ལས་ཐམས་ཅད་ཡེ་ཤེས་སྔོན་དུ་འགྲོ་ཞིང་ཡེ་ཤེས་ཀྱི་རྗེས་སུ་འབྲང་བ|All the activities of their speech are preceded by pristine cognition and followed by pristine cognition
བྱ་བ་གྲུབ་པའི་ཡེ་ཤེས|All-accomplishing wisdom
ཀུན་གཞི|All-basis
ཀུན་གཞི|All-ground
འགོད་པ|Allocations
རབ་ཏུ་དབྱུང་བ|Allow someone to go forth
དཔུང་གཉེན|Ally
བསོད་སྙོམས་ཀྱི་ཟས|Alms
ལྷུང་བཟེད|Alms bowl
ལྷུང་བཟེད|Alms bowl
ལྷུང་བཟེད|Alms bowl
ལྷུང་བཟེད|Alms bowl
ཏ་ར་ནི|Aloe flower
གཞོན་ནུ་མ|Aloe vera
ཨ་ག་རུ|Aloe wood
ཨ་ཀ་རུ|Aloe wood
ཨ་ག་རུ་ནག་པོ|Black aloe wood
ཨ་ག་རུ|Aloeswood
སྣང་བ་མ|Ālokakarā
སྣང་བ་མ|Ālokakarā
ལྟ་བྱེད་མ|Ālokinī
ལྟ་བྱེད་མ|Ālokinī
ཕྱིས|Already
གཞན་དུ་འགྱུར་བ|Alteration
རྟག་ཏུ་མྱོས|Always Insane
ཨ་རུ་ར|Myrobalan
སྐྱུ་རུ་ར|Āmalakī
སྐྱུ་རུ་ར|Āmalakī
སྐྱུ་རུ་ར|Emblic myrobalan
སྐྱུ་རུ་ར|Āmalakī
སྐྱུ་རུ་ར|Āmalakī
ཀུ་ར་བ་ཀ|Amaranth
རྨད་གྲགས|Amazing Renown
བདུད་རྩི|Ambrosia
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
སྣང་བ་མཐའ་ཡས|Amitābha
སྣང་བ་མཐའ་ཡས|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མད|Amitābha
འོད་དཔག་མད|Amitābha
འོད་དཔག་ཏུ་མེད་པ|Amitābha
འོད་དཔག་ཏུ་མེད་པ|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
སྣང་བ་མཐའ་ཡས|Amitābha
སྣང་བ་མཐའ་ཡས|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
འོད་དཔག་མེད|Amitābha
རྒྱལ་མསཐན་དཔག་མེད|Amitadhvaja
རྒྱལ་མསཐན་དཔག་མེད|Amitadhvaja
ཕུང་པོ་དཔག་མེད|Amitaskandha
ཕུང་པོ་དཔག་མེད|Amitaskandha
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
ཚེ་དཔག་མེད|Amitāyus
དོན་ཡོད་མཐོང|Amoghadarśin
དོན་ཡོད་མཐོང|Amoghadarśin
མཐོང་བ་དོན་ཡོད|Amoghadarśin
མཐོང་བ་དོན་ཡོད|Amoghadarśin
མཐོང་ན་དོན་ཡོད|Amoghadarśin
མཐོང་ན་དོན་ཡོད|Amoghadarśin
མཐོང་བ་དོན་ཡོད|Amoghadarśin
མཐོང་བ་དོན་ཡོད|Amoghadarśin
དོན་ཡོད་རྒྱལ་པོ|Amogharāja
དོན་ཡོད་རྒྱལ་པོ|Amogharāja
དོན་ཡོད་རྒྱལ་པོ|Amogharāja
དོན་ཡོད་རྒྱལ་པོ|Amogharāja
དོན་གྲུབ|Amoghasiddhi
དོན་གྲུབ|Amoghasiddhi
དོན་ཡོད་གྲུབ་པ|Amoghasiddhi
དོན་ཡོད་གྲུབ་པ|Amoghasiddhi
དོན་ཡོད་གྲུབ་པ|Amoghasiddhi
དོན་ཡོད་གྲུབ་པ|Amoghasiddhi
སྒེག་བྱེད|Amorous sentiment
དཔུང་མགོ་ཤིན་ཏུ་ཟླུམ་པོ|Amply curved shoulders
ཨ་མྲ་སྲུང་བ|Āmrapālī
ཨ་མྲ་སྲུང་བ|Āmrapālī
ཨ་མྲས་བསྲུངས་པ|Āmrapālī
ཨ་མྲས་བསྲུངས་པ|Āmrapālī
ཨ་མྲས་བསྲུངས་པའི་ཚལ་ཆེན་པོ|Āmrapālī’s great grove
ཨཱ་མྲས་བསྲུངས་བའི་ཚལ|Āmrapālī’s Grove
བདུད་རྩི|Amrita
བདུད་རྩི|Ambrosia
བདུད་རྩི|Amrita
བདུད་རྩི|Amṛta
བདུད་རྩི|Amṛta
བདུད་རྩི|Amṛtabindu
བདུད་རྩི|Amṛtabindu
དམ་ཆོས་ཡིད་བཞིན་ནོར་བུ་ཐར་པ་རིན་པོ་ཆེའི་རྒྱན|An Adornment for the Precious Path to Liberation
ཨཱཎཱ|Āṇā
ཨཱཎཱ|Āṇā
ཟིལ་གནོན|Anābhibhū
ཟིལ་གནོན|Anābhibhū
བཀྲེས་ངབ|Anal fistula
ཙན་ད་ལྟར|Anāla
ཙན་ད་ལྟར|Anāla
བརྩོན་འགྲུས་མཐའ་ཡས|Anaṃtavīrya
བརྩོན་འགྲུས་མཐའ་ཡས|Anaṃtavīrya
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ|Ānanda
ཀུན་དགའ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
དགའ་བ|Joy
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
ཀུན་དགའ་བོ|Ānanda
དགའ་བའི་དཔལ|Ānandaśrī
དགའ་བའི་དཔལ|Ānandaśrī
དགའ་བའི་དཔལ|Ānandaśrī
དགའ་བའི་དཔལ|Ānandaśrī
ཀུན་ཏུ་དགའ་བྱེད|Ānandita
ཀུན་ཏུ་དགའ་བྱེད|Ānandita
མཐའ་ཡས|Anantaka
མཐའ་ཡས|Ananta
མཐའ་ཡས|Ananta
མཐའ་ཡས|Ananta
མཐའ་ཡས|Ananta
སྤྱོད་པ་མཐའ་ཡས|Anantacāritra
སྤྱོད་པ་མཐའ་ཡས|Anantacāritra
མཐའ་ཡས་དབྱངས|Anantaghoṣa
མཐའ་ཡས་དབྱངས|Anantaghoṣa
མཐའ་ཡས|Anantaka
མཐའ་ཡས|Anantaka
མཐའ་ཡས་བློ་གྲོས|Anantamati
མཐའ་ཡས་བློ་གྲོས|Anantamati
བློ་གྲོས་མཐའ་ཡས|Anantamati
བློ་གྲོས་མཐའ་ཡས|Anantamati
མུ་ཁྱུད་མཐའ་ཡས|Anantanemi
མུ་ཁྱུད་མཐའ་ཡས|Anantanemi
མཐའ་ཡས་སྤྱན|Anantanetra
མཐའ་ཡས་སྤྱན|Anantanetra
མཐའ་ཡས་གནོན|Anantavikrāmiṇ
མཐའ་ཡས་གནོན|Anantavikrāmiṇ
ཡོན་ཏན་རིན་ཆེན་མཐའ་ཡས་བཀོད་པ|Ananta­guṇa­ratna­vyūha
ཡོན་ཏན་རིན་ཆེན་མཐའ་ཡས་བཀོད་པ|Ananta­guṇa­ratna­vyūha
ཡེ་ཤེས་བླ་མ་མཐའ་ཡས་པ|Ananta­jñānanottara
ཡེ་ཤེས་བླ་མ་མཐའ་ཡས་པ|Ananta­jñānanottara
དམིགས་པ་མེད་པའི་བསམ་གཏན|Anārambaṇa­dhyāyin
དམིགས་པ་མེད་པའི་བསམ་གཏན|Anārambaṇa­dhyāyin
བཟོད་ལྡན་མ|Anasūyā
བཟོད་ལྡན་མ|Anasūyā
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་པ་ལ་ཟས་སྦྱིན་པ|Anāthapiṇḍada
མགོན་མེད་པ་ལ་ཟས་སྦྱིན་པ|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན|Anāthapiṇḍada
མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ|Anāthapiṇḍada’s grove
མ་དྲོས་པ|Anavapta
མ་དྲོས་པ|Anavapta
མཚོ་ཆེན་པོ་མ་དྲོས་པ|Anavatapta
མཚོ་ཆེན་པོ་མ་དྲོས་པ|Anavatapta
མ་དྲོས་པ|Anavatapta
མ་དྲོས་པ|Anavatapta
མ་དྲོས་པ|Anavatapta
མ་དྲོས་པ|Anavatapta
མ་དྲོས|Anavatapta
མ་དྲོས|Anavatapta
འོད་ཟེར་འབར་བ་དུ་མས་འཁོར་བ|Aneka­ratnāṃśu­mālā
འོད་ཟེར་འབར་བ་དུ་མས་འཁོར་བ|Aneka­ratnāṃśu­mālā
ཨང་ག|Aṅga
ཨང་ག|Aṅga
ཨང་གའི་རྒྱལ་པོ|King of Aṅga
ཁྲོ་བ|Anger
ཙཎྜེ་མཧཱ་ཀྲོ་དྷ|Fierce Great Anger
ཞལ་ལ་ཁྲོ་གཉེར་གྱི་རིམ་པ་མེད་པ|Face is without frowns of anger
ཤེས་ལྡན|Aṅgiras
ཤེས་ལྡན|Aṅgiras
ཨང་གི་ར|Aṅgiras
ཨང་གི་ར|Aṅgiras
བརྩོན་པ་མི་འདོར་བ|Anikṣiptadhura
བརྩོན་པ་མི་འདོར་བ|Anikṣiptadhura
བརྩོན་པ་མི་གཏོང་བ|Anikṣiptadhura
བརྩོན་པ་མི་གཏོང་བ|Anikṣiptadhura
བརྩོན་པ་མི་གཏོང་བ|Anikṣiptadhura
བརྩོན་པ་མི་གཏོང་བ|Anikṣiptadhura
བརྩོན་པའི་མི་འདོར|Anikṣiptadhura
བརྩོན་པའི་མི་འདོར|Anikṣiptadhura
བརྩོན་པ་མི་གཏོང་བ|Anikṣiptadhura
བརྩོན་པ་མི་གཏོང་བ|Anikṣiptadhura
དུད་འགྲོ|Animal realm
སྲིན་བུ|Animalcule
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགག་པ|Aniruddha
འགགས་པ་མེད་པ|Aniruddha
མ་འགག་པ|Aniruddha
འགགས་པ་མེད་པ|Aniruddha
མ་འགགས་པ|Aniruddha
མ་འགགས་པ|Aniruddha
ཕྱིར་མི་ལྡོག་པ|Anivartin
ཕྱིར་མི་ལྡོག་པ|Anivartin
ལོང་བུ་རྣམས་མི་མངོན་པ|Ankles are inconspicuous
ཟས་དང་གོས་སྦྱིན་མ|Annapānadā
ཟས་དང་གོས་སྦྱིན་མ|Annapānadā
འཚིག་པ|Annoyance
བདུད|Antaka
བདུད|Antaka
ས་བླའི་ལྷ|Antarīkṣa­deva
ས་བླའི་ལྷ|Antarīkṣa­deva
ལྷ་མ་ཡིན|Antigod
རྗེས་སུ་དཔག་པ|Anumaineya
རྗེས་སུ་དཔག་པ|Anumaineya
དཔེ་མེད་བློ་གྲོས|Anupamamati
དཔེ་མེད་བློ་གྲོས|Anupamamati
དཔེ་མེད་བློ་གྲོས|Anupamamati
དཔེ་མེད་བློ་གྲོས|Anupamamati
ཉེ་བར་ཞི་བ|Anupaśānta
ཉེ་བར་ཞི་བ|Anupaśānta
ལྷ་མཚམས|Anurādhā
ལྷ་མཚམས|Anurādhā
རྗེས་སུ་ཆགས་མ|Anurāginī
རྗེས་སུ་ཆགས་མ|Anurāginī
སྤྲིན་མེད|An­abhraka
མི་ཆེ་བ|An­abhraka
སྤྲིན་མེད|An­abhraka
མི་ཆེ་བ|An­abhraka
མ་བསྙལ་བའི་རྒྱལ་མཚན|An­avanāmita­vaijayantī
མ་བསྙལ་བའི་རྒྱལ་མཚན|An­avanāmita­vaijayantī
མ་བསྙལ་རྒྱལ་མཚན་རྒྱལ་བའི་བ་དན|An­avana­tā Dhvaja­vaijayantī
མ་བསྙལ་རྒྱལ་མཚན་རྒྱལ་བའི་བ་དན|An­avana­tā Dhvaja­vaijayantī
དམིགས་པ་མེད་པ་ཡིད་ལ་བྱེད་པ|An­upalambha­manasi­kāra
དམིགས་པ་མེད་པ་ཡིད་ལ་བྱེད་པ|An­upalambha­manasi­kāra
