ཀ|{stambha}
ཀུན་བརྟགས་པའི་རང་བཞིན་རབ་ཏུ་དབྱེ་བའི་ཚུལ་མཚན་ཉིད|{parikalpitA}
ཀུན་བརྟགས་པས|{vikalpya}
ཀུན་བརྟན|{avahelA}
ཀུན་བསྟེན|{ArAdhanA}
ཀུན་ཐོབ|{AnAyya}
ཀུན་མཐོང|{AdarzA}
ཀུན་འཐོར|{AsphoTa}
ཀུན་ད|{1) kunda 2) kairava 3) kaurava 4) gandhasoma 5) bhrami 6) rajanIhAsa 7) vizarikA 8) zazipriya 9) sita}
ཀུན་ད་ཤིང|{kundavRkSa}
ཀུན་དང་མཐུན་པར་འཇུག|{karaNa, saMstara}
ཀུན་དང་འཚམ་པར་འཇུག|{yogavAhina}
ཀུན་དམ|{kunda}
ཀུན་དུ་བཟང་པོ|{samantabhadra}
ཀུན་དུ་བཟང་པོའི་སྤྱོད་པའི་སྨོན་ལམ་གྱི་དོན་ཀུན་བསྡུས|{samantabhadracaryApraNidhAnArthasaMgraha}
ཀུན་དུ་རུ|{1) kunda 2) kunduru 3) mukunda}
ཀུན་དོང|{1) palANDu 2) samanta}
ཀུན་དོང་དམ་ཙོང|{corapuSpI}
ཀུན་དོན|{sarvArtha}
ཀུན་གདུང|{anaGga, Aviddha}
ཀུན་གདུངས|{Azrama}
ཀུན་བདག|{vizvapati, vizvAtma}
ཀུན་འདར|{avadhUti}
ཀུན་འདྲི|{1) paripRcchaka (?) 2) samprazna}
ཀུན་སྡུད|{saGgraha}
ཀུན་བསྡུད|{saGgraha}
ཀུན་ན|{sarvatra}
ཀུན་ནས|{1) A° 2) paryava° 3) sam° 4) samanta 5) samantataH 6) samantAt 7) samantena 8) sarvata 9) sAm° 10) SaM}
ཀུན་ནས་འབར་བ|{AdIpta}
ཀུན་ནས་དཀྲིས་པ|{paryavasthita}
ཀུན་ནས་འཁོར་ཡུག|{samantataH}
ཀུན་ནས་ཉོན་མོངས་པ|{sAMklezika}
ཡང་དག་ཉིད་ལ་ཀུན་ནས་སྒྲིབ|{saM na pazyati yathAbhUtam}
ཀུན་ནས་དཀྲིས་པ|{1) paryavasthAna 2) paryupasthAna}
ཀུན་ནས་སྐྱེ|{1) utpAdana 2) samantaja}
ཀུན་ནས་བརྐོས|{AkhAta}
ཀུན་ནས་བསྐོར་ནས|{anuparivArya}
ཀུན་ནས་བསྐོར་བ|{1) parivRta 2) samantat parikSiptam}
ཀུན་ནས་ཁབས་པའི|{paryavanaddha}
ཀུན་ནས་ཁོར་ཡུག|{samantataH}
ཀུན་ནས་ཁྱབས་པ|{saJchanna}
ཀུན་ནས་མཁྱེན་ལྡན|{samantajJAnin}
ཀུན་ནས་འཁུམས|{kuGkum}
ཀུན་ནས་འཁོར་བ|{1) anuparyavanaddha 2) paryutthAna 3) samprayukta}
ཀུན་ནས་འཁོར་ཡུག|{samantataH}
ཀུན་ནས་དགེ་བ|{samantazubha}
ཀུན་ནས་དགོད་པ|{urprasaH (?)}
ཀུན་ནས་འགེགས་པ|{sammUrcchana}
ཀུན་ནས་འགྲོ|{1) ArdoraNa (?) 2) saGgati}
ཀུན་ནས་སྒོ|{samantamukha}
ཀུན་ནས་སྒོའི་ལེའུ|{samantamukhaparivarta, samantadvArapariccheda}
ཀུན་ནས་སྒོར་འཇུག་པའི་འོད་ཟེར་གཙུག་ཏོར་དྲི་མ་མེད་པར་སྣང་བ་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་སྙིང་པོ་དང་དམ་ཚིག་ལ་རྣམ་པར་ལྟ་བ|{samantamukhapravezarazmivimalozNizprabhAsasarvatathAgatahRdayasamayavilokita}
ཀུན་ནས་སྒོར་འཇུག་པའི་འོད་ཟེར་གཏུག་ཏོར་དྲི་མ་མེད་པར་སྣང་བ་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་སྙིང་པོ་དང་དམ་ཚིག་ལ་རྣམ་པར་བལྟ་བ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ|{samantamukhapravezarazmivimalozNizprabhAsasarvatathAgatahRdayasamayavilokitanAmadhAraNivRtti}
ཀུན་ནས་སྒྲིབ་པར་བྱེད|{AcchAdayati}
ཀུན་ནས་ཆས་པ|{1) saMkliSTa 2) saMkleza}
ཀུན་ནས་ཉོན་མོངས་པ|{1) saMkliSTa 2) saMkleza 3) saMklezika}
ཀུན་ནས་ཉོན་མོངས་པ་ཅན|{1) saMklezika 2) ekAntakliSTa}
ཀུན་ནས་ཉོན་མོངས་པ་ཅན་གྱི་ཆོས|{saMklezikadharma}
ཀུན་ནས་ཉོན་མོངས་པ་ཅན་གྱི་ཆོས་དང་འདྲེས་པ|{saMklezikadharmasaMsRSTa}
ཀུན་ནས་ཉོན་མོངས་པ་ཅན་དུ་གྱུར་པའི་སེམས|{saMkliSTacitta}
ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མ་ཡིན་པ|{AsaMkliSTa}
ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མ་ཡིན་པ་ཉིད|{AsaMkliSTatyA}
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བའི་དོན|{saMklezavyavadAnArtha}
ཀུན་ནས་ཉོན་མོངས་པ་མ་མཆིས་པ་ཉིད|{asaMklezatva}
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པ|{1) aparikliSTa 2) AsaMkliSTa}
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པའི་མཚན་ཉིད|{AsaMklezalakSana}
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པའི་གཞི|{AsaMkliSTasthAna}
ཀུན་ནས་ཉོན་མོངས་པའི་ཆ་དང་མཐུན་པའི་མཚན་མ|{saMklezapakSyanimitta}
ཀུན་ནས་མྱོན་མོངས་པའི་ཆོས|{saMklezikadharma}
ཀུན་ནས་ཉོན་མོངས་པའི་ཆོས་རྣམས་ཀྱི་ཉེས་མིགས|{saMklezikadharmAdinava}
ཀུན་ནས་ཉོན་མོངས་པའིའཆིང་བའི་མཚན་མ|{saMklezabandhanimitta}
ཀུན་ནས་ཉོན་མོངས་པའི་དོན|{saMklezArtha}
ཀུན་ནས་ཉོན་མོངས་པའི་མཚན་ཉིད|{saMklezalakSaNa}
ཀུན་ནས་སྙེམས|{avalipta, Askandana}
ཀུན་ནས་བཏགས་པ|{upahita, SaMsyUta}
ཀུན་ནས་བཏུས་པ|{saMyuja, samuccaya}
ཀུན་ནས་བཏོགས་ནས|{Avamucya}
ཀུན་ནས་དྲང་པོ|{ahutaH (?)}
ཀུན་ནས་གདུང་བ|{santApa}
ཀུན་ནས་གདུང་བཞིན་དུ|{AzocyamAna}
ཀུན་ནས་འདུད|{Anamya}
ཀུན་ནས་ལྡང་བ|{1) paryatthAna 2) paryupasthAna 3) samutthAna}
འཆགས་པས་ཀུན་ནས་ལྡང་པ་མེད་པ་ཡིན|{niSparyutthAno bhavati}
ཀུན་ནས་ལྡང་བྱེད|{samutthAna}
ཀུན་ནས་སྡུད་པ|{samAhAra}
ཀུན་ནས་མནར་བ|{AghAtayati}
ཀུན་ནས་མནར་སེམས་ཀྱི་སེམས|{AghAtacitta}
ཀུན་ནས་མནར་སེམས་པ|{AghAta}
ཀུན་ནས་སྣག་བ་བཀོད་པའི་དཔལ|{samantAvabhAsavyUhazrI}
ཀུན་ནས་ཕྱིན|{Avarta}
ཀུན་ནས་འཕགས་པ|{samudgata}
ཀུན་ནས་བྲིས|{citra, ullikhita}
ཀུན་ནས་བྲེལ་བ|{sarbogha (?)}
ཀུན་ནས་འབར|{santApaka, santApita}
ཀུན་ནས་འབར་བ|{1) AdIpata 2) sampradIpa}
ཀུན་ནས་འབྱུང་བ|{samudaya}
ཀུན་ནས་སྦགས་པ|{paligodha (parigodha)}
ཀུན་ནས་སྦྱོར་བ|{saMyojana}
ཀུན་ནས་བརྩེགས་པ|{avakUTita}
ཀུན་ནས་མཚུངས་པ|{sama}
ཀུན་ནས་མཛེས་པ|{samantaprAsAdika}
ཀུན་ནས་ཞུམ|{saMlIyati}
ཀུན་ནས་གཞལ|{sarvatomukha}
ཀུན་ནས་གཟིགས་པ|{nikhiladarzin}
ཀུན་ནས་བཟང|{gambhAri, gambhArikA}
དཔལ་གྱི་ལོ་མ|{gambhAri, gambhArikA}
ཀུན་ནས་འོད་ཟེར|{samantaprabha}
ཀུན་ནས་ཡན་ལག་འཇུག|{samAvRtta}
ཀུན་ནས་སུ|{samantena}
ཀུན་ནས་སློང་བ|{samutthAn}
ཀུན་ནས་སློང་བ་པོ|{samutthApaka}
ཀུན་ནི་གཟིགས|{nikhilasarzin}
ཀུན་ནུས་པ|{sarvasAmarthya}
ཀུན་གནས|{AsthAnin. AsthAnam}
ཀུན་སྣང|{1) samantabhasa 2) samantaloka}
ཀུན་སྤངས|{1) ababhUti (?) 2) avadhura 3) nirvaNa 4) sarvatyAgina}
ཀུན་སྤྱད|{1) dharma 2) samaya 3) samudAcAra}
ཀུན་སྤྱོད|{1) AkSa 2) AcAra 3) nIti 4) yoginIsaJcaryA 5) saJcara, saJcAri 6) samAcAra}
ཀུན་སྤྱོད་ངན་པ|{kRSNabrahman}
ཀུན་སྤྱོད་གཙང་བ|{zucisamAcAra}
ཀུན་ཕན|{kaumudI}
ཀུན་བྱུང་ཤེས་པ|{samudayajJAna}
ཀུན་འབྱུང|{1) samdaya 2) sambhava 3) samudbhava}
ཀུན་འབྱུང་བདེན་པ|{samudayasatya}
ཀུན་འབྱུང་བ|{1) samudaya 2) samudAcAra}
ཀུན་འབྱུང་བ་ལ་ཆོས་ཤེས་པའི་བཟོད་པ|{samudaye dharmajJAnazAnti}
ཀུན་འབྱུང་བའི་བདེན་པ|{samudayasatya}
ཀུན་འབྱུང་ལ་ཆོས་ཤེས་པ|{samudaye dharmajJAnam}
ཀུན་འབྱུང་ལ་རྗེས་སུ་རྟོགས་པའི་ཤེས་པ|{samudaye 'nvayajJAnam}
ཀུན་འབྱུང་ལ་རྗེས་སུ་རྟོགས་པའི་ཤེས་པའི་བཟོད་པ|{samudaye 'nvayajJAnakSAntiH}
ཀུན་འབྱུང་ཤེས་པ|{samudayajJAna}
ཀུན་འབྱེད་གཞོན་ནུ|{sanatkumAra}
ཀུན་སྦྱོང་བ|{saMzuddhi}
ཀུན་སྦྱོར|{1) Abhoga 2) saMyojana}
ཀུན་མ་ལུས|{sarviyazeSAM}
ཀུན་མོས|{Amoda}
ཀུན་རྨོངས|{1) sambhrama 2) sammoha}
ཀུན་རྨོངས་པ|{sammUDha}
ཀུན་རྨོངས་བཞིན་དུ|{sammohavat}
ཀུན་གཙོར|{ApIDa}
ཀུན་ཚེ|{sarvadA}
ཀུན་འཚོ|{AjIva}
ཀུན་མཛེས|{suSamA}
ལེགས་མཉམ|{suSamA}
ཀུན་མཛེས་མ|{sundarI}
ཀུན་འཛིན|{1 )+Adhi 2) Agraha 3) Sandhara 4) sandhA}
ཀུན་འཛིན་མ|{AdhAraNI}
ཀུན་རྫོབ|{1) saMvRti 2) saMvRta[ buddha]}
ཀུན་རྫོབ་ཀྱི་བདེན་པ|{saMvRtisatya}
ཀུན་རྫོབ་ཀྱི་བདེན་པ་ལ་དམིགས་པ|{saMvRtisatyAlambaka}
ཀུན་རྫོབ་ཀྱི་མཚན་ཉིད|{1) saMvRtilakSaNa}
ཀུན་རྫོབ་ཏུ|{saMvRtyA}
ཀུན་རྫོབ་དང་དོན་དམ་པའི་བདེན་པ་བསྟན་པ|{saMvRtiparamArthasatyanirdeza}
ཀུན་རྫོབ་བདེན་པ|{saMvRtisatya}
ཀུན་རྫོབ་པའི་སེམས་བསྐྱེད|{saMvRtimanotpAda}
ཀུན་རྫོབ་བྱང་ཆུབ|{saMvRtibodhicitta}
ཀུན་རྫོབ་བྱང་ཆུབ་སེམས་བསྒོམ་པའི་མན་ངག་ཡི་གེར་བྲིས་པ|{saMvRtibodhicittabhAvanopadezavarNasaGgraha}
ཀུན་རྫོབ་ཤེས་པ|{saMvRtijJAna}
ཀུན་ཞི་བར་བྱེད|{zamenti}
ཀུན་གཞི|{Alaya}
ཀུན་གཞི་སྙིང་པོ|{garbhasaMsthAna}
ཀུན་གཞི་རྣམ་པར་དམ་པ|{paramAlyavijJAna}
ཀུན་གཞི་རྣམ་པར་ཤེས་པ|{AlyavijJAna}
ཀུན་གཞི་རྣམ་པར་ཤེས་པའི་རྒྱུ་ལས་འབྱུང་བར་མི་འགྱུར|{AnAlayavijJAnahetuka}
ཀུན་གཞི་རྣམ་པར་ཤེས་པའི་རིགས་ཀྱི་མཚན|{AlyavijJAnajAtilakSaNa}
ཀུན་གཞིའི་རྣམ་པར་ཤེས་པ|{AlyavijJAna}
ཀུན་གཟིགས|{1) nikhiladarzin 2) samantadarzin}
ཀུན་ཟང|{1) gambhArI 2) samantabhadra 3) sarvatobhadrA}
ཀུན་བཟོད|{1) AsahA 2) sarvasahA}
ཀུན་རིག|{sarvavid}
ཀུན་རིག་ཉིད|{sarvavid}
ཀུན་རིག་རྣམ་པར་སྣང་མཛད|{sarvavid vairocana}
ཀུན་རིགས|{sarvavid}
ཀུན་རིལ་གྱི|{nikhila}
མ་ལུས|{nikhila}
ཀུན་ལ|{1) itastataH 2) sam° 3) sarva 4) sarvatra 5) sarvasmin 6) sarvAn 7) sarvebhyaH}
ཀུན་ལ་མི་མཁོ|{asambhoga}
སེམས་ཅན་ཀུན་ལ|{sarvasattveSu}
ཀུན་ལ་ཁྱབ་བྱེད་སེར་པོ|{gorocanA}
ཀུན་ལ་གྲགས་པ|{pratIta}
ཀུན་ལ་བལྟ་མཁན|{sarvadarzin}
ཐམས་ཅད་གཟིགས|{sarvadarzin}
ཀུན་ལ་ཕན་དོན་དམ་པ|{paramArtha}
ཀུན་ལ་མི་མཁོ|{asambhoga}
ཀུན་ལ་དམིགས་པ|{sarvabadesA (?)}
ཀུན་ལ་སྨན་ཡོན་བཏགས|{sarvAtithyaM kRtam}
ཀུན་ལ་ཤིས་མ|{sarvamaGgalA}
ཀུན་ལས|{1) sam° 2) samanta, samantataH 3) sarvataH 4) sarvatra}
ཀུན་ལས་བཏུས་པ|{samuccaya}
ཀུན་ལས་རྒྱལ་བ|{saJjayin}
ཀུན་ལས་བཏུས|{1) samuccaya 2)}
མངོན་པ་ཀུན་ལས་བཏུས|{abhidharmasamuccaya}
ཀུན་ལས་བཏུས་པ|{1) samuccaya 2) samuddhRta}
ཀུན་ཤེས་ཀཽ་དི་ནྱ|{AjJAtakauNDinya}
ཀུན་ཤེས་ཉིད|{sarvajnyatA}
ཀུན་ཤེས་པ|{1) AjnyA 2) sarvajJa}
ཀུན་ཤེས་པ་ཐེམ་པ་བྱེད|{AjJAmArAgayati}
ཀུན་ཤེས་པ་དང་ལྡན་པའི་དབང་པོ|{AjJAtAvIndriya}
ཀུན་ཤེས་པར་གྱི་ས་ཤིག|{AjJApayet}
ཀུན་ཤེས་པར་བྱ|{AjJeya}
ཀུན་ཤེས་པར་བྱོས་ཤིག|{saMjJapaya}
ཀུན་ཤེས་ཤིང་གཤེགས་པ|{saMjJAgati}
ཀུན་བཤད་པ|{AkhyAta}
ཀུན་སེམས|{saMvid}
ཀུན་སློང|{1) cittotpAda 2) samutthAna 3) samutpAda}
ཀུན་གསལ|{AkAza}
ཀུན་གསོད|{Avadha}
ཀུན་བསགས|{1) Acita 2) prasakta (?)}
ཀུཎྜལི|{dAsakuNDalI}
ཀུམ་བི་ར|{kumbhIra}
ཀུམ་བྷ|{kumbha}
བུམ་པ|{kumbha}
ཀུརྨ་པཱ་དཱི|{kUrmapAdI vArAhI}
ཀེ་ཀའི་སྒྲ་ཅན|{kekin}
ཀེ་ཀེ་རུ|{karketana}
ཀེ་ཏ་ཀ|{ketaka}
ཀེ་ཡུ་ར་ཀ|{keyUraka}
ཀེ་ལ་ཤ|{kailAsa}
ཀཻ་ལ་ཤ|{kailAsa}
རིའི་རྒྱལ་པོ་ཏི་སེ|{kailAsa}
ཀེ་ཤ|{keza}
ཀེ་ཤ་རམ|{kesar}
ཀེ་ཤུ་ཀ|{kiMzuka}
ཀེ་ས་ར|{kesar}
ཀེག|{azleSa}
ཀེང་རུས|{1) AsathIni 2) kaGkAla 3) saGkalikA}
ཀེང་རུས་ཏཱ་ར་བའི་སྒྲུབ་ཐབས|{kaGkAlarAraNasAdhana}
ཀེང་རུས་ཏཱ་ར་ནའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ་གཞན་ལ་ཕན་པ་ཞེས་བྱ་བ|{kaGkAlatAraNasAdhanaTIkAparahitanAma}
ཀེའུ|{1) gRJjana 2) gRJjanaka}
ཀེའུ་ཚང|{koSa}
ཀེར་ཁངས|{samutthita}
ཀཻལ་ཤ|{kailAsa}
རི་བོ་གངས་ཅན|{kailAsa}
ཀོ|{1) Api (?) 2) tu (?)}
གསོན་པ་དེས་ཀོ་ཅི་ཞིག་བྱ|{kiM tena jIvitenApi}
བདག་ཀོ་ཅི་ཕྱིར་སྡར|{ahaM kasmAttu kAtaraH}
ཀོ་ཀ|{koka}
ཀོ་ཀི་ལ|{kokila}
ཀོ་ཀྱ|{pavitra}
ཀོ་སྐོ་སྤྲེའུ་ལྟ་བུ|{markaTajoDa}
ཀོ་སྐོ་ཕག་གི་ལྟ་བུ|{sUkarajoDa}
ཀོ་སྐོ་བ་ལང་གི་ལྟ་བུ|{khara joDa}
ཀོ་སྐོའི་འོག་མ|{cibu, cibuka}
ཀོ་སྐོ་བསྙུང|{ekajoDa}
ཀོ་སྐྲད|{barartA (?)}
ཀོ་མཁན|{khAraruphakAraH (?)}
ཀོ་ཏ་མ་ཨའི་རས|{koTambaka}
ཀོ་ཏམ་བའི་རས|{koTambaka}
ཀོ་ཏྲ་བ|{1) kodrava 2) mADava}
ཀོ་ཐ|{kuSTha}
ཀོ་ཐག|{laritram (?)}
ཀོ་དཱ་ལ|{kodAla, kodAlaka}
ཀོ་ཎྜ་ནྱ|{kauNDiJa}
ཀོ་ལྤགས་ཀྱི་གཞི|{carmavastu}
ཀོ་ལྤགས་མཁན|{1) carmakAra 2) mocika}
ཀོ་ཕུབ|{paracarman (?)}
ཀོ་བ|{carma}
ཀོ་བ་ཅན|{Anaddha}
ཀོ་བི་ད་ར|{kovidAra}
ཀོ་བི་ད་ར་ཀ|{kovidAraka}
ཀོ་མའི་ལྕུག་མ|{kolavallI}
ཀོ་ར་བ|{kaurava}
ཀོ་ལའི་འདབ|{koladala}
ཀོ་ཤ་ལ|{kozala}
ཀོ་ཤམ་པ|{vidhi (?)}
ཀོ་ཤམ་བི|{kauzAmbI}
ཀོ་ཤི་ཀ|{kauzika}
ཀོའུ་ཤི་ཀ|{kauzika}
ཀོ་སྛིལ་ཆེན་པོ|{mahAkoSThila}
ཀོ་ས་ལ|{kozala, kosala}
ཀོ་ས་ལཱ|{kozalA}
ཀོ་ས་ལའི་རྒྱན|{kosalAlaGkAratattvasaGgrahaTIkA}
ཀོག|{usahaga (?)}
ཀོག་རྩེ|{jAla}
ཀོང|{gartadeza}
ཀོང་པོ|{gartadeza}
སྐོང་བུ|{gartadeza}
ཀོང་ཀུན|{koGkaNa}
ཀོང་ཀོང|{vila}
ཀོང་པོ|{gartadeza}
ཀོང་མོ|{garta}
ཀོང་ཡུལ|{gartadeza}
ཀོང་གསུམ|{trigarta}
ཀོས་སྙུང|{ekajoDa}
ཀོའུ་དི་ནྱ|{kauNDinaya}
ཀོའུ་ཎཌི་ནྱ|{kauNDinaya}
སློབ་དཔོན་ལུན་སྟོན་པ་བྲམ་ཟེ|{AcAryavyAkaraNaH kauNDinayo brahmaNaH}
ཀཽ་བི༹་དཱ་ར|{kovidAra}
ཀཽ་མུ་དི་ཞེས་བྱ་བའི་དཀའ་འགྲེལ|{kaumudI paJjikA nAma}
ཀཽ་ར་བ|{kaurava}
ཀཽ་ཤམ་བི|{kauzAmbI}
ཀོའུ་ཤི་ཀ|{kauzika}
ཀྱག་ཀྱོག|{1) kuTila 2) vaGkacoGka (?)}
ཀྱག་སྐྱོག|{kuTila}
ཀྱང|{1) api 2) api 3) uta 4) eva 5) kiM cApi 6) ca 7) ca ... ca 8) cana 9) cApi 10) cit 11) tu 12) punaH 13) vA 14) hi 15) saM 16) api}
ཀྱང་ཅི|{kimuta}
ཀྱང་རུང|{api}
ཀྱལ་ཀ|{1) keli 2) krIDA 3) pralApa}
ཀྱལ་ཀའི་ཚིག|{kelivacana}
ཀྱི་ཧུད|{1) aho 2) aho vata 3) AhA 4) ravita 5) hahava 6) sA 7) hA kaSTa 8) hA vata 9) hA hA}
ཀྱི་ཧུད་ཟེར་བ|{1) hahava 2) hA hA vata}
ཀྱུ|{aGkuza}
ཀྱེ|{1) ayi 2) bhoH 3) re 4) he}
ཀྱེ་རྡོ་རྗེ|{hevajra}
ཧེ་བ་ཛྲ|{hevajra}
ཀྱེ་རྡོ་རྗེ་ཕྱག་གཉིས་པའི་སྒྲུབ་ཐབས|{hevajradvibhujasAdhana}
ཀྱེ་རྡོ་རྗེ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས|{hevajranAmasAdhana}
ཀྱེ་རྡོ་རྗེ་དཀྱིལ་འཁོར་གྱི་ལས་ཀྱི་རིམ་པའི་ཆོ་ག|{hevajramaNDalakarmakramavidhi}
ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་ཀྱི་མདོར་བཤད་པ་དག་པ་རྡོ་རྗེ་སྒྲོན་མ་ཞེས་བྱ་བ|{hevajrasAdhanavajrapradIpanAmaTippaNIzuddha}
ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས་ཀྱི་དཀའ་འགྲེལ|{hevajrasAdhanapaJcikA}
ཀྱེ་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་དག་པའི་གཏེར་ཞེས་བྱ་བ|{vizuddhanidhi nAma hevajrasAdhana}
ཀྱེ་རྡོ་རྗེའི་དྲན་པ་གཅིག་པ|{hevajraikasmRti}
ཀྱེ་རྡོ་རྗེའི་རིམ་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས|{hevajrakramakurukullesAdhana}
ཀྱེ་རྡོར|{hevajra}
ཀྱེ་རྡོ་རྗེ|{hevajra}
ཀྱེ་མ|{1) aho 2) aho vata 3) bata 4) bhoH kaSTam 5) vata 6) vata hA 7) hA 8) hA vata}
ཀྱེ་མ་ཀྱེ་ཧུད|{aho vata}
ཀྱེ་མ་གྲོགས་པོ་དག|{vata mArSAH}
ཀྱེ་མ་མ་ལ|{aho vata}
ཀྱེ་ཧུད|{1) aho 2) vata 3) hA hA kaSTam}
ཀྱེ་ཧོ|{hI}
ཀྱེའི་རྡོ་རྗེ་བསུདས་པའི་དོན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ|{hevajrapiNDArthaTIkA}
ཀྱེའི་རྡོ་རྗེ་ཕྱག་བཅུ་དྲུག་པའི་སྒྲུབ་པའི་ཐབས|{hevajraSoDzabhujasAdhana}
