འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
བར་སྲིད|interval/_intermediate state between death and rebirth as a phase of conditioned existence
བར་མཚམས་མེད་པ|uninterrupted; seamless; without gap/_interstice; isc. no separation/_discontinuity
བར་ཆད་མེད་ལམ|path free of/_without obstacles
བར་ཆད་མེད་པའི་ལམ|path free of/_without obstacles
བར་ཆད་ཞི་བ|to pacify obstructive situations; obstacles subside
བས་ན|. . . (verb root) pas/_bas na - since . . . , this is why/_so, . . .
བཅའ་བ|(prepared) food
བཅས་པ|. . . (dang) bcas pa - together with; accompanying; together with (its) attendant . . . ; to entail; entailing . . .. འཆའ་བ to set up/_formulate/_base (on)
བཅས་པའི་ཁྲིམས|formal ethical codes/_ordinations
བཅས་པའི་ལྟུང་བ|deed formally violating ordination
བཅས་པའི་སྡིག་པ|deed negative/_harmful due to violating formal ordination
བཅིང་བ|འཆིང་བ to embrace (within)/_subsume/_encompass/_contain; to bind/_fetter/_restrict/_confine; isc. to (be) constrain(ed); isc. to (be) epitomize(d by)
བཅིང་གྲོལ|bondage versus freedom
བཅིངས|. . . r bcings (pa) - to be embraced/_embodied as. . . . ltar bcings (pa) - to be epitomized/_embodied by
བཅོལ་བ|འཆོལ་བ to enjoin/_entrust/_commission; isc. to require (of)
བཅོམ་ལྡན་འདས|transcendent accomplished conqueror/_'Blessed One' [usual renderning in Western translations, esp.from sutra tradition]
བཅོས་བསླད|བཅོས་བསླད་མེད་པ (un)contrived and (un)corrupted/_(un)distorted; (without) contrivance and/_or contamination/_tampering
བཅོས་མ|བཅོས་པ contrived/_artificial; concocted/_fabricated; isc. influence(d)/_affect(ed)
བཅོས་མེད|uncontrived; བཅོས་མིན། བཅོས་མ་ཡིན་པ uncontrived; unfabricated; isc. not influenced/_affected
བཅོས་མིན|བཅོས་མེད་། བཅོས་མ་ཡིན་པ uncontrived; unfabricated; isc. not influenced/_affected
བཅོས་པ|བཅོས་མ to contrive; to fashion/_tailor/_mold/_shape; to concoct/_fabricate/_compromise; isc. to improve on. འཆོས contrived/_artificial; concocted/_fabricated; isc. influence(d)/_affect(ed)
བཅོས་མ་ཡིན་པ|བཅོས་མེད་། བཅོས་མིན uncontrived; unfabricated; isc. not influenced/_affected
བཅོས་བསླད་མེད་པ|uncontrived and uncorrupted/_undistorted; without contrivance and/_or contamination/_tampering
བཅུད|vital essence/_quintessence/_distillation/_distilled essence
བཅུད་ལེན|alchemy/_alchemical transmutation [=ra sa ya na]
བདག|བདག་པོ lord/_master; owner; agent. identity (with inherent existence); soul
བདག་འཛིན|བདག་ཏུ་འཛིན་པ pa to impute/_hold to have/_misconstrue as having identity; isc. perception based on the assumption of identity; to perceive as though there were identity
བདག་འཇུག|(ritual of) self-empowerment
བདག་བཟུང|བདག་ཏུ་བཟུང་བ to impute/_hold to have/_misconstrue as having identity; isc. perception based on the assumption of identity; to perceive as though there were identity
བདག་གཉིས|the two aspects of (self-)identity/_selfhood (that of the individual self and the (self-)identity of phenomena)
བདག་ལྟ|བདག་ཏུ་ལྟ་བ to view (in terms) of /_believe in identity
བདག་མེད|nonexistence of identity (of the individual personality and/_or phenomena); lack of identity
བདག་ཉིད|identity; བདག་ཉིད་ཅན what truly characterizes/_is truly characteristic of . . ; true characteristic; (to be the) very identity/_epitome/_embodiment of . . . ; great being/_entity; principle; to include/_incorporate/_embody/_epitomize
བདག་པོ|lord/_master; owner; agent
བདག་རྐྱེན|བདག་པོའི་རྐྱེན dominant/_controlling condition
བདག་རྟོག|concept of identity; to conceive in terms of self-identity; isc. to ascribe identity to self and phenomena
བདག་སྣང|subjective/_self-induced/_self-generated appearance/_apparent phenomenon/_manifestation
བདག་ཞེན|བདག་ཏུ་ཞེན་པ to fixate on identity (of the individual personality) and/_or phenomena
བདག་མེད་གཉིས|nonexistence of both kinds of identity (of the individual self and phenomena)
བདག་མེད་པ|nonexistence of identity (of the individual personality and/_or phenomena); lack of identity
བདག་མེད་རྟོགས་པའི་ཤེས་རབ|sublime knowing/_wisdom/_transcendent knowledge realizing the nonexistence/_absence of identity (in self and phenomena)
བདག་ཏུ་བཟུང་བ|བདག་ཏུ་འཛིན་པ to impute/_hold to have/_misconstrue as having identity; isc. perception based on the assumption of identity; to perceive as though there were identity
བདག་ཏུ་ཞེན་པ|to fixate on identity (of the individual personality) and/_or phenomena
བདག་ཏུ་ལྟ་བ|to view (in terms) of /_believe in identity
བདག་ཏུ་འཛིན་པ|བདག་ཏུ་བཟུང་བ to impute/_hold to have/_misconstrue as having identity; isc. perception based on the assumption of identity; to perceive as though there were identity
བདག་སྐལ་པ་དང་ལྡན་པ|(sense of) individuality
བདག་ཉིད་ཅན|བདག་ཉིད what truly characterizes/_is truly characteristic of . . ; true characteristic; (to be the) very identity/_epitome/_embodiment of . . . ; great being/_entity; principle; to include/_incorporate/_embody/_epitomize
བདག་ཉིད་གཅིག་པུའི་མ་རིག་པ|nonrecognition of awareness that seems/_is virtually the same as/_identical to (the ground of being itself)
བདག་པོའི་རྐྱེན|dominant/_controlling condition
བདག་པོའི་འབྲས་བུ|dominant/_controlling result
བདར་ཤ་གཅོད་པ|བརྡར་ཤ་གཅོད་པ,་གདར་ཤ་གཅོད་པ to refine one's experience (of) with great precision; to see with great precision; isc. to see through/_pare away
བདེ་བ|bliss; (complete) happiness/_well-being; easy to . . .
བདེ་གཤེགས|sugata; བདེ་བར་གཤེགས་པ sugata/_one arrived at a state of bliss
བདེ་སྡུག|happiness and suffering
བདེ་སྐྱོང|bliss-sustaining
བདེ་སྟོང|unity of bliss and emptiness; (simultaneously) blissful and/_yet empty
བདེ་ཕྱམ་མེ|བདེ་ཆམ་མེ serene/_tranquil bliss
བདེ་བར་གཤེགས་པ|sugata; sugata/_one arrived at a state of bliss
བདེ་བར་གཤེགས་པའི་སྙིང་པོ|buddha nature; sugatagarbha; 'buddha nature' potential/_heart essence for attaining/_reaching the state of bliss [sutra context] potential/_heart essence that constitutes attaining/_reaching the state of bliss [Dzogchen context]
བདེ་བར་གནས་པ|blissful repose; resting in a stable experience of bliss
བདེ་གཤེགས་སྙིང་པོ|བདེ་བར་གཤེགས་པའི་སྙིང་པོ sugatagarbha; 'buddha nature' potential/_heart essence for attaining/_reaching the state of bliss [sutra context] potential/_heart essence that constitutes attaining/_reaching the state of bliss [Dzogchen context]
བདེ་ཆམ་མེ|བདེ་ཕྱམ་མེ serene/_tranquil bliss
བདེ་བ་ཅན|Sukhavati/_Realm of Bliss
བདེ་གསལ་མི་རྟོག་པ|(meditative experiences of) bliss, lucidity, and nonconceptual awareness
བདེན་འཛིན|bden par 'dzin pa; བདེན་པར་འཛིན་པ to invest with truth/_authenticity/_true existence
བདེན་དངོས|real and true (substantial existence)
བདེན་མེད|བདེན་པ་མེད་པ untrue; lacking/_to lack true existence/_nature
བདེན་པ|truth; true existence/_nature; true/_valid/_authentic(ity); isc. real (one of seven vajra qualities)
བདེན་སྟོང|empty of true existence; empty of true existence/_nature
བདེན་ཞེན|བདེན་པར་ཞེན་པ to fixate on (something) as true/_truly existent; to invest with truth/_true existence
བདེན་པར་འཛིན་པ|to invest with truth/_authenticity/_true existence
བདེན་པར་ཞེན་པ|to fixate on (something) as true/_truly existent; to invest with truth/_true existence
བདེན་པར་མ་གྲུབ་པ|(to be) found (not) to have ever had true existence
བདེན་པའི་ནུས་པ|impact of truth
བདེན་མ་གྲུབ|(to be) found not to have ever had true existence
བདེན་པ་བཞི|('phags pa'i) bden pa bzhi - four (noble) truths
བདེན་པ་གཉིས|two levels of truth
བདེན་པ་མཐོང་བ|direct perception of truth/_true nature
བདེན་པ་མེད་པ|untrue; lacking/_to lack true existence/_nature
བདེན་པ་བཞིའི་རྣམ་པ་བཅུ་དྲུག|sixteen topics implied in the four (noble) truths
བདེར་གནས|བདེ་བར་གནས་པ blissful repose; resting in a stable experience of bliss
བདོ་བ|(to be) on the rise
བདུད|mara/_deadening influence/_negative influence
བདུད་རྩི|amrita; nectar/_elixir (of immortality)/_amrita
བདུད་རྩི་སྨན|healing nectar
བེམ་པོ|matter; inert/_inanimate matter; lifeless
བེམ་སྟོང|inert void/_emptiness; nihilistic void
བེར|cloak
བགེགས|(causer of) hindrance
བགེགས་བསྐྲད|བགེགས་བསྐྲད་པ - to banish/_banishing hindrances
བགྲང་བ|to enumerate; to quantify
བགྲོད་པ|travel; to traverse/_progress/_travel/_pass over/_reach
བྷ་ག|(cosmic) vagina
བྷ་གའི་དཀྱིལ་འཁོར|mandala of the bhaga/_'cosmic vagina'
བྷན་དྷ་འབར་བའི་གཞལ་ཡས|immeasurable mansion of the radiant skullcup
བཀའ|(spiritual) command/_pronouncement/_permission
བཀའ་བབས|(one who receives) precise/_specific transmission
བཀའ་དྲིན|grace; kindness; grace/_graciousness
བཀའ་སྡོད|attendant (deity)
བཀའ་སྩལ་པ|to be so gracious as to tell/_relate/_inform; to bestow a reply (hon.)
བཀག་པ|འགེགས་པ,་བཀག་པ,་དགགས་པ to hinder/_obstruct/_thwart
བཀང་བ|to fill (up)
བཀླག་ཆོག་ཏུ་བཀོད་པ|to arrange as a liturgy for recitation aloud
བཀོད་འདོམས|advice [KNT]
བཀོད་པ|(full) array/_display; to arrange/_display/_set in place; to compose (a text); isc. to be formed. འགོད་པ to establish/_place
བཀོད་པར་སྣང་བ|to manifest in full array
བཀོལ་སྤྱོད|བཀོལ་སྤྱོད་ཀྱི་སྡུག་བསྔལ - (the suffering of) servitude and exploitation [endured by animals]
བཀྲ་བ|arrayed/_variegated
བཀྲ་ཤིས|auspicious (wish)
བཀྲ་ལམ་མེ་བ|vivid(ness)
