ཀུད|བཀུ ND.gives as the present of ཀུད.
འཁོར|Present: སྒོར་མོ LZ. ལས་ཉོན་གྱིས་འཁོར་བར CD, DK, DS, TC. \nPast: སྐོར LZ, DKའཁོརད [DS], TC.\nFuture: འཁོར LZ, DK, [DS], TC.\nImperative: འཁོར LZ. འཁོར DK. - TC.\nInvoluntary: TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: འཁོརད (Gyurme 1992: 259), (Beyer 1992: 116), (Duff).\nCharacteristic Example: འཁོར LZ.\nMeaning: 1. To turn round, circumambulate. 2. To be formed, perfected. CD. To rotate or turn round DK. 1. To turn at a hub. 2. To change direction. 3. To come, to gather DS. To revolve, to rotate, to spin, to go around, to elapse (of time) TC.\nNote: Compare the noun འཁོརད 'round, a circle, globe'.
འཁོལ|Present: སྐོལ CD, DK, TC. ཁོལད DS.\nPast: འཁོལ CD, DK, DS, TC.\nFuture: ཁོལ DK, DS, TC.\nImperative: ཁོལ DK. - DS, TC.\nInvoluntary: DS, TC, (Tournadre & Dorje 2003: 306), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003: 306). [Abs. Obl.] (Hackett 2003).\nResultative of: འཁོལ (Gyurme 1992: 259), (Beyer 1992: 116), (Duff).\nMeaning: (in Medicine) To boil CD. To be boiling, to feel anxiety or to be agitated, to be active in service, to be an obedient servant DK. For bubbles to arise from within a liquid which has arrived at a certain temperature DS. To boil, be boiled TC.
འཁོལ|Present: གཡོག་སོགས་སུ LZ, CD, DK, DS, TC. \nPast: ཁོལད LZ, DK.ཁོལ CD, DS, TC.\nFuture: དགོལ LZ, DK, TC. བཀོལ DS.\nImperative: བཀོལ LZ, CD, DS, TC. བཀོལད DK.\nVoluntary: CD, DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: འཁོལ LZ. \nMeaning: 1. To make a person a slave; to bind as a servant, to cause to serve one. 2. To become insensible, to be asleep; to get benumbed in reference to the limbs (Sch.) CD. To use as a servant; to make somebody serve; to use DK. To use DS. To take into service, to assign someone, to use TC.
འཁོལ|Present: ཟུར་དུ་ལས་འམ LZ, TC.ལོགས་དང་ཟུར་དུ CD, ND, DK, DS. \nPast: ཁོལད LZ, ND, DK.ཁོལ CD, DS, TC.\nFuture: བཀོལད LZ, ND, DK, TC. དགོལ DS.\nImperative: བཀོལ LZ. བཀོལ CD, DS, TC. བཀོལད ND, DK.\nVoluntary: CD, ND, DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: འཁོལ LZ. བཀོལ ND.\nMeaning: To save; to spare; to enjoy with moderation (Cs.) CD. To isolate, to keep separately DK. To separate apart, put aside DS. To select, set aside, single out, separate TC.
འཁྱག|Present: གྲང་བའི CD, ND, DK, DS, TC. \nPast: འཁྱགས ND, DK, DS, TC. འཁྱག (DS).\nFuture: ཁྱགས ND, DK, DS, TC.\nImperative: - ND, DS, TC. འཁྱགས DK. \nInvoluntary: ND, DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁྱག ND.\nMeaning: To freeze, coagulate, feel cold CD. To freeze or become very cold, to be chilled DK. To cool DS. To be cold, to freeze TC.
འཁྱམ|Present: འཁོར་བ་སོགས་སུ LZ, CD, DK, DS, TC. \nPast: འཁྱོམས LZ, DK, DS, TC.\nFuture: འཁྱམས LZ, DK, DS, TC.\nImperative: ཁྱམས LZ. འཁྱམ DK. - DS. འཁྱམས TC.\nInvoluntary:DS. Voluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁྱམ LZ.\nMeaning: To rove, to wander CD. To wander; to ramble DK. To go here and there without a definite goal DS. To wander, to roam, to travel aimlessly TC.
འཁྱར|Present: གཞན་དུ LZ, CD, DK, DS, TC. \nPast: ཁྱརད LZ. འཁྱར DK. འཁྱར [DS], TC.\nFuture: འཁྱར LZ, DK, [DS], TC.\nImperative: ཁྱར LZ. འཁྱརད DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁྱར LZ.\nMeaning: To err, to go astray CD. To roam; to wander; to stray DK. To let out a secret DS. To be dislocated, to stray, to be dispersed, to be missing TC.\nNote: Root given as 'khyar < 'khor 'turn' (?) (Beyer 1992: 83).
འཁྱལ|Present: དོན་མེད་པའི་ངག་སོགས LZ, DK. \nPast: འཁྱལད LZ, DK.\nFuture: ཀྱལད LZ, DK.\nImperative: བཀྱལ LZ. བཀྱལད DK.\nCharacteristic Example: འཁྱལ LZ.\nMeaning: To talk nonsense, to gossip or drivel DK.
འཁྱལ|Present: ཀྱལ་ཀ DK. རྐྱལ་ཀ DS, TC. \nPast: ཁྱལད DK. འཁྱལ [DS], TC.\nFuture: འཁྱལ DK, [DS], TC.\nImperative: ཁྱལ DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To gossip; to converse meaninglessly DK. 1. For earlier and later words to not be connected, for earlier and later to not be connected. 2. To move away from an earlier position DS. To lapse, to lose control, to go astray TC.\nNote: Compare the nouns འཁྱལ , and འཁྱལད 'a joke, jest, trick'.
འཁྱིག|Present: ཐག་པས CD, ND, DK, DS, TC. རྐང་ལག་སོགས LZ, (CD). \nPast: འཁྱིགས LZ, CD, ND, DK, DS, TC.\nFuture: ཁྱིགས LZ, ND, DK, DS, TC.\nImperative: བཀྱིག LZ, ND, DS, TC. བཀྱིགས DK.\nVoluntary: ND, DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: འཁྱིགས LZ. འཁྱིག ND.\nMeaning: To bind, to take prisoner; (in Central Tibet) to strangle, suffocate CD. To bind; to fasten or tie; to truss up DK. To restrain men, livestock &c. with a rope DS. To tie, bind TC.
འཁྱིག|Present: འཁྱིག DS. \nPast: འཁྱིགས DS.\nFuture: འཁྱིག DS.\nImperative: - DS.\nInvoluntary: DS.\nIntransitive: DS.\nMeaning: To tightly bind DS.
འཁྱིགས|Present: འཁྱིགས (Ja). \nMeaning: To comprise, encompass (Ja).
འཁྱིད|Present: འཁྱིད CD (archaic). \nMeaning: To turn, roll (one's eyes); to draw out; strain; to roll, revolve CD.
འཁྱིམས|Present: འགྱིམ་པ LZ, CD, DS. \nPast: ཉི་ཟླ་སོགས LZ, [DS].\nFuture: འཁྱིམས LZ, [DS].\nImperative: འཁྱིམས LZ.\nIntransitive: DS.\nCharacteristic Example: འཁྱིམས LZ.\nMeaning: To be encircled with a halo, like the sun and moon CD. To seep out from DS.\nNote: Compare འཁྱིམས 'circumference'.
འཁྱིར|Present: ཁྱིར CD, DS, TC. འཁྱིར DK. \nPast: འཁྱིར DK. ཁྱིར [DS] TC.\nFuture: འཁྱིརད DK, [DS], TC.\nImperative: འཁྱིར DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To turn around CD. To wind round; to move in a circle; to circle DK. To rotate a parasol DS. To rotate, spin TC.
འཁྱིལ|Present: དགྱིབས་ཀྱི་རྣམ་པ་སོགས་སུ LZ, CD, DS, TC. སྐྱིལ DK. \nPast: ཁྱིལད LZ. འཁྱིལ DK. འཁྱིལ [DS], TC.\nFuture: འཁྱིལ LZ, DK, [DS], TC.\nImperative: ཁྱིལ LZ. འཁྱིལད DK. -- TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: CD, DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: འཁྱིལད (Gyurme 1992: 259), (Beyer 1992: 116), (Duff).\nCharacteristic Example: འཁྱིལ LZ.\nMeaning: To wind; to twist; to whirl around CD. To be collected or to be stored; to accumulate DK. 1. To be bent like the pattern of a conch shell. 2. For liquids (water &c.) to gather DS. 1. To be absorbed. 2. To whirl around, to twist, to coil up, to curl up, to spiral TC.
འཁྱུ|འཁྱུས CD gives as the present to འཁྱུ 
འཁྱུག|Present: གློག་དང་ཉ་ཆུང་སོགས LZ, CD, DS, TC. ཁྱུགས DK. \nPast: འཁྱུག LZ. འཁྱུག CD, DK. འཁྱུགས DS, TC.\nFuture: ཁྱུག LZ, DK, DS, TC.\nImperative: འཁྱུག LZ. འཁྱུགས DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁྱུག LZ.\nMeaning: To run, move swiftly CD. To move swiftly, to flash DK. To move swiftly, to flash TC. 
འཁྱུད|Present: ཕན་ཚུན LZ, CD, ND, DK, DS, TC. \nPast: ཁྱུད LZ, ND, [DS], TC. འཁྱུད DK.\nFuture: འཁྱུད LZ, DK, [DS], TC.\nImperative: ཁྱུད LZ, TC. འཁྱུད DK. \nInvoluntary: ND. Voluntary: TC, (Hoshi 2003).\nIntransitive: DS. Transitive: TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: འཁྱུད LZ.\nMeaning: 1. To embrace. 2. To glide in or into. 3. To be able CD. To embrace or hug; to encompass; to coil up; to surround or to encircle; to have great faith or interest in some one or some thing DK. 1. Tug, to embrace. 2. To engage in sexual intercourse TC.
འཁྱུར|Present: སྐྱུར CD, TC. ཁྱུརད DK.\nPast: འཁྱུར DK. འཁྱུར TC.\nFuture: ཁྱུར DK, TC.\nImperative: འཁྱུརད DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: འཁྱུར [CD].(Beyer 1992: 116).\nMeaning: 1. To be separated, divorced (Cs.); to stop; to put an end to. 2. To be deserted (Ja) CD. To be transferred DK To be transferred, to be assigned TC.
འཁྱུས|Present: དཀྱུ CD. དཀྱུ ND, DK, DS (archaic), TC. \nPast: བྲོས་པའི CD, ND, TC. དཀྱུས DK.\nFuture: དཀྱུ DK. དཀྱུས TC.\nImperative: འཁྱུས DK.- TK.\nInvoluntary: TC.\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: དཀྱུ NWH.\nMeaning: To run away CD, DK. (an archaic equivalent of 'bros) To flee DS. To run away, to flee TC.\nNote:ND lists another verb ཁྱུས , འཁྱུས , འཁྱུ , ཁྱུས with Characteristic Example འཁྱུས which is clearly a confusion between this verb and འཁྱུས , compare འཁྱུ.
འཁྱེག|Present: ཡར་ལ ND. \nPast: ཁྱོག ND.\nFuture: འགྱེག ND.\nImperative: བཀྱེག ND.\nCharacteristic Example: འཁྱེག ND.
འཁྱེད|Present: འགྱེད CD.\nPast: ཁྱེད (Beyer 1992: 113).\nResultative of: འཁྱེད (Beyer 1992: 113)\nMeaning: 1. To be sufficient, to suffice, to be enough; to hold out. 2. (Central Dialect) To gain (a lawsuit); to be acquitted (Ja) CD.
འཁྱེར|Present: ལག་ཏུ LZ, CD, ND, DK, DS, TC. \nPast: རྫས་སོགས་གཞན་དུ LZ, ND, DK. འཁྱེརད DS, TC.\nFuture: ཁྱེརད LZ, DK. ཁྱེར ND, DS, TC.\nImperative: འཁྱེར LZ, DS, TC. ཁྱེར ND. ཁྱེར DK.\nVoluntary: ND, DS, TC, (Tournadre & Dorje 2003: 210), (Hoshi 2003).\nIntransitive: DS. Transitive: TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 210). (Hackett 2003).\nCharacteristic Example: ཁྱེརད LZ. འཁྱེར ND.\nMeaning: To carry away, to take away CD. To carry, to take away, to bring DK. To carry, to take away TC.
འཁྱེལ|Present: འཁྱེལ CD. \nMeaning: (in Ladakh) To hit, to strike CD.
འཁྱོག|Present: འཁྱོགས CD, ND, DK, DS, TC. \nPast: ཁྱོག CD. འཁྱོག ND. འཁྱོགས DK, DS, TC.\nFuture: འཁྱོག DK, DS, TC.\nImperative: ཁྱོག CD. འཁྱོག DK. - DS, TC.\nVoluntary: CD. Involuntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: 1. To lift; lift up. 2. To carry, to bring CD. To be crooked; to become crooked, to twist DK. To be bent, to be crooked, to sway, to curve TC.
འཁྱོང|Present: ཉིན་དནག་ཐུན་སོགས LZ, CD, TC. ཁྱོངས CD, DK, DS. \nPast: འཁྱོངས LZ, [DS], TC. འཁྱོང DK.\nFuture: ཁྱོང LZ, DK, TC. འཁྱོངས [DS].\nImperative: འཁྱོངས LZ, DK. - TC.\nInvoluntary: TC. Voluntary: (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁྱོང LZ.\nMeaning: 1. To observe. 2. (in Ladakh) To bring (Ja), (Ramsay) CD. 1. To continue without interruption. 2. To arrive at a good or complete [state]. 3. To be able. 4. To enunciate, use good diction DS. To continue, to conclude TC.
འཁྱོམ|Present: ས་དང་སེམས་སོགས LZ, CD, DS, TC. \nPast: སྐྱོམ LZ, DS, TC.\nFuture: འཁྱོ LZ, DS, TC.\nImperative: སྐྱོམ LZ. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: ཁྱོམས (Chang 1971: v. 4), (Gyurme 1992: 259), (Beyer 1992: 116)\nBeyer incorrectly gives འཁྱོམ [sic] 'reel, stagger' for 'khyom, with causative འཁྱོམས 'shake, agitate' (Beyer 1992: 116)., (Duff).\nCharacteristic Example: འཁྱོམ LZ.\nMeaning: (in Central Tibet) To reel, stagger CD. To be aroused, to be agitated, to be disturbed. 2. To sway, to roll, to rock TC.
འཁྱོར|Present: འཁྱོར CD, DS, TC. \nPast: འཁྱོར [DS], TC.\nFuture: འཁྱོར [DS], TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be unsteady; to miss, fail, not to hit (Cs.); to reel, stager from intoxication CD. To be unsteady, to stagger, to totter TC.\nNote: Root given as 'khyor < 'khor 'turn' (Beyer 1992: 83)
འཁྱོལ|Present: སྐྱེལ LZ, CD, DS, TC. ཉམས་ལེན་སོགས་ཚད་དུ DK. \nPast: ཁྱོལད LZ. འཁྱོལད DK. འཁྱོལ [DS], TC.\nFuture: འཁྱོལ LZ, DK, [DS], TC.\nImperative: ཁྱོལ LZ. འཁྱོལད (LZ), DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁྱོལད LZ.\nMeaning: To be carried, to be bought CD. To reach one's destination; to complete one's life DK. To be concluded, to be finished, to reach a goal TC. \nNote: CD suggests comparison with འཁྱོལ 
འཁྲ|Present: རྟེན་གནས་སོགས་ལ LZ, CD, DK, DS, TC. \nPast: འཁྲས LZ, CD (probably), DK, DS, TC.\nFuture: འཁྲ LZ, DK, DS, TC.\nImperative: འཁྲས LZ, DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁྲ LZ.\nMeaning: To lean to; to incline toward (Cs.) CD. To crave for; to be impeded DK. (archaic) To be attached, to stay in one place, to depend on TC.
འཁྲབ|Present: འཁྲབ་མ CD, DK, DS. \nPast: སྐྲབ CD.ཁྲོབས CD. འཁྲབས DK. DS.\nFuture: དཀྲབ DK, (DS). བཀྲབ DS.\nImperative: བཀྲབས DK. སྐྲབ DS.\nVoluntary: DS.\nTransitive: DS.\nResultative of: བཀྲབ NWH.\nDenominative of: འཁྲབ 'flail, fan' NWH.\nMeaning: 1. To strike; to beat (in regular, strokes as in swimming and rowing). 2. To winnow, to fan. 3. To blink, twinkle, wink with the eyes. 4. To jest, joke. 5. To leap, jump. 6. To scoop out; to bail out CD. To select; to move legs, eyes etc. to dance DK. To thresh or winnow chaff from grain with a flail or fan DS.
འཁྲབ|Present: བྲོ་གར་སོགས LZ, DS, TC. \nPast: སྐྲབ LZ, TC. འཁྲོབས [DS].\nFuture: ཁྲོབས LZ, [DS], TC.\nImperative: འཁྲབ LZ. འཁྲབ TC.\nVoluntary: TC, (Tournadre & Dorje 2003: 339), (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 339), (Hackett 2003).\nResultative of: འཁྲབས NWH.\nCharacteristic Example: འཁྲབ LZ.\nMeaning: To dance DS. To perform, to stage, to beat, to stamp TC. 
འཁྲི|Present: དཀྲི CD, ND, DS, TC. \nPast: འཁྲི CD, DS, TC. འཁྲི ND.\nFuture: འཁྲིས DS, TC.\nImperative: - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: འཁྲི [CD] (Chang 1971: v.6) (Duff).\nMeaning: To wind, compress; entangle, hold fast CD. To be responsible, to be tied down by responsibilities TC.
འཁྲིག|Present: འདོད་པས LZ, ND, CD, DK. ཁུག་རྣ་དང་སྤྲིན་སོགས DS, TC. \nPast: འགྲིག LZ, DK, [DS], TC. དཀྲིག LZ, ND.\nFuture: འཁྲིགས LZ, DK. འཁྲིག [DS], TC.\nImperative: ཁྲིགས LZ. འཁྲིགས LZ. འཁྲིག DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: འཁྲིག (Duff). Resultative of: འཁྲིགས (Beyer 1992: 112).\nCharacteristic Example: འཁྲིགས LZ. འཁྲིག LZ.\nMeaning: To cohere; to stick together, become thick CD. To become overcast, to be piled up DK. To thicken, to become dense, to gather TC.
འཁྲིད|Present: གནས་སུ LZ, CD (archaic), TC.ཐར་ལམ་དང་གཞན་སོགས་སུ CD, ND, DK, DS. \nPast: སྐྲི LZ, CD, DK, (DS), TC. བཀྲིས CD.ཁྲིད ND.\nFuture: བཀྲི LZ, ND, DK, (DS), TC.\nImperative: བཀྲིད ND, DK, DS. བཀྲི LZ, (DS), TC.\nVoluntary: ND, DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nResultative of: བཀྲིས NWH.\nCharacteristic Example: འཁྲིད LZ. བཀྲི ND.\nMeaning: To lead; to conduct; bring to a place, especially used with in connection with animals and children, also of leading and army ('khrid)CD. To draw, to try, to acquire, to search for (bkri) CD. To lead; to bring to a place; to take; to guide from the worldly misery DK. 1. To lead on a path. 2. To teach, instruct. 3. To lead, turn someone to go in a particular direction (DS). To guide, lead TC.
འཁྲིད|Present: གནས་དང་དཔེ་ཆ་སོགས LZ, CD, DK, DS, TC. \nPast: ཁྲིད LZ, CD, DK, DS, TC.\nFuture: འཁྲིད LZ, DK. ཁྲིད DS, TC.\nImperative: ཁྲིད LZ, DK, DS, TC.\nVoluntary: DS, TC, (Tournadre & Dorje 2003: 306), (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 306), (Hackett 2003).\nCharacteristic Example: འཁྲིད LZ.\nMeaning: To lead; to conduct; bring to a place, especially used with in connection with animals and children, also of leading and army CD. To explain a book; to teach in detail DK.1. To lead on a path. 2. To teach, instruct. 3. To lead, turn someone to go in a particular direction DS. 1. To lead, to draw, to take, to guide, to bring, to conduct. 2. To instruct, to teach TC.
